UF;COD. UF;COD. MUNIC;name_muni;pop
SP;35;47601;Santa Rosa De Viterbo;25666
SP;35;47650;Santa Salete;1523
SP;35;47205;Santana Da Ponte Pensa;1591
SP;35;47304;Santana De Parnaíba;126574
SP;35;47700;Santo Anastácio;21044
SP;35;47809;Santo André;710210
SP;35;47908;Santo Antônio Da Alegria;6739
SP;35;48005;Santo Antônio De Posse;22389
SP;35;48054;Santo Antônio Do Aracanguá;8169
SP;35;48104;Santo Antônio Do Jardim;6053
SP;35;48203;Santo Antônio Do Pinhal;6767
SP;35;48302;Santo Expedito;3011
SP;35;48401;Santópolis Do Aguapeí;4611
SP;35;48500;Santos;433966
SP;35;48609;São Bento Do Sapucaí;10864
SP;35;48708;São Bernardo Do Campo;816925
SP;35;48807;São Caetano Do Sul;158024
SP;35;48906;São Carlos;241389
SP;35;49003;São Francisco;2857
SP;35;49102;São João Da Boa Vista;89027
SP;35;49201;São João Das Duas Pontes;2612
SP;35;49250;São João De Iracema;1885
SP;35;49300;São João Do Pau D'alho;2141
SP;35;49409;São Joaquim Da Barra;50110
SP;35;49508;São José Da Bela Vista;8823
SP;35;49607;São José Do Barreiro;4185
SP;35;49706;São José Do Rio Pardo;54388
SP;35;49805;São José Do Rio Preto;442548
SP;35;49904;São José Dos Campos;688597
SP;35;49953;São Lourenço Da Serra;15177
SP;35;50001;São Luís Do Paraitinga;10731
SP;35;50100;São Manuel;40367
SP;35;50209;São Miguel Arcanjo;32769
SP;35;50308;São Paulo;11967825
SP;35;50407;São Pedro;34284
SP;35;50506;São Pedro Do Turvo;7567
SP;35;50605;São Roque;86515
SP;35;50704;São Sebastião;83020
SP;35;50803;São Sebastião Da Grama;12355
SP;35;50902;São Simão;15104
SP;35;51009;São Vicente;355542
SP;35;51108;Sarapuí;9836
SP;35;51207;Sarutaiá;3694
SP;35;51306;Sebastianópolis Do Sul;3334
SP;35;51405;Serra Azul;13216
SP;35;51603;Serra Negra;28321
SP;35;51504;Serrana;42784
SP;35;51702;Sertãozinho;120152
SP;35;51801;Sete Barras;13144
SP;35;51900;Severínia;16806
SP;35;52007;Silveiras;6158
SP;35;52106;Socorro;39565
SP;35;52205;Sorocaba;644919
SP;35;52304;Sud Mennucci;7712
SP;35;52403;Sumaré;265955
SP;35;52551;Suzanápolis;3742
SP;35;52502;Suzano;285280
SP;35;52601;Tabapuã;12103
SP;35;52700;Tabatinga;15881
SP;35;52809;Taboão Da Serra;272177
SP;35;52908;Taciba;6110
SP;35;53005;Taguaí;12586
SP;35;53104;Taiaçu;6205
SP;35;53203;Taiúva;5605
SP;35;53302;Tambaú;23214
SP;35;53401;Tanabi;25467
SP;35;53500;Tapiraí;8047
SP;35;53609;Tapiratiba;13076
SP;35;53658;Taquaral;2819
SP;35;53708;Taquaritinga;56587
SP;35;53807;Taquarituba;23163
SP;35;53856;Taquarivaí;5605
SP;35;53906;Tarabai;7168
SP;35;53955;Tarumã;14205
SP;35;54003;Tatuí;116682
SP;35;54102;Taubaté;302331
SP;35;54201;Tejupá;4750
SP;35;54300;Teodoro Sampaio;22675
SP;35;54409;Terra Roxa;9101
SP;35;54508;Tietê;40194
SP;35;54607;Timburi;2699
SP;35;54656;Torre De Pedra;2375
SP;35;54706;Torrinha;9846
SP;35;54755;Trabiju;1664
SP;35;54805;Tremembé;44912
SP;35;54904;Três Fronteiras;5719
SP;35;54953;Tuiuti;6533
SP;35;55000;Tupã;65651
SP;35;55109;Tupi Paulista;15153
SP;35;55208;Turiúba;2009
SP;35;55307;Turmalina;1883
SP;35;55356;Ubarana;5910
SP;35;55406;Ubatuba;86392
SP;35;55505;Ubirajara;4687
SP;35;55604;Uchoa;9968
SP;35;55703;União Paulista;1754
SP;35;55802;Urânia;9135
SP;35;55901;Uru;1229
SP;35;56008;Urupês;13504
SP;35;56107;Valentim Gentil;12416
SP;35;56206;Valinhos;120258
SP;35;56305;Valparaíso;24993
SP;35;56354;Vargem;9854
SP;35;56404;Vargem Grande Do Sul;41807
SP;35;56453;Vargem Grande Paulista;48720
SP;35;56503;Várzea Paulista;116601
SP;35;56602;Vera Cruz;10997
SP;35;56701;Vinhedo;72550
SP;35;56800;Viradouro;18428
SP;35;56909;Vista Alegre Do Alto;8002
SP;35;56958;Vitória Brasil;1821
SP;35;57006;Votorantim;117794
SP;35;57105;Votuporanga;91278
SP;35;57154;Zacarias;2574
